,Unnamed: 0,mainInfo,location,point,latitude,longitude,altitude
51,51,Khairpur,"Khairpur, Siana, Bulandshahr, Uttar Pradesh, 203402, India","(27.5256, 68.7551, 0.0)",27.5256,68.7551,0
52,52,Shikarpur,"Shikarpur, Bulandshahr, Uttar Pradesh, India","(27.9570, 68.6380, 0.0)",27.957,68.638,0
53,53,Kashmore,"کشمور, سندھ, پاکستان","(28.4322915, 69.5814755, 0.0)",28.4322915,69.5814755,0
54,54,Sukkur,"سکھر, سندھ, پاکستان","(27.6961883, 68.8588754, 0.0)",27.6961883,68.8588754,0
55,55,Nawabshah,"نوابشاہ, سندھ, پاکستان","(26.2452915, 68.4040229, 0.0)",26.2452915,68.4040229,0
56,56,Umarkot,"Umarkot, Rojhan Tehsil, پنجاب, پاکستان","(28.8212149, 70.1450046, 0.0)",28.8212149,70.1450046,0
57,57,Mansehra,"مانسہرہ, خیبر پختونخوا, پاکستان","(34.3286855, 73.1993125, 0.0)",34.3286855,73.1993125,0
58,58,Kotri,"Kotri, Kotri Tehsil, Bhilwara District, Rajasthan, India","(25.3494, 68.2743, 0.0)",25.3494,68.2743,0
59,59,Thatta,"Thatta, Ajnala Tahsil, Amritsar, Punjab, 143109, India","(24.7475, 67.9106, 0.0)",24.7475,67.9106,0
60,60,Badin,"بدين, سندھ, 72200, پاکستان","(24.7566588, 68.84961066168489, 0.0)",24.7566588,68.84961066,0
61,61,Sehwan,"سیہون شریف, سندھ, پاکستان","(26.4255959, 67.8625638, 0.0)",26.4255959,67.8625638,0
63,63,Kot Diji,"کوٹ ڈیجی, سندھ, پاکستان","(27.3430938, 68.7093634, 0.0)",27.3430938,68.7093634,0
64,64,Latifabad,"لطِيف آباد, حیدرآباد, سندھ, 91000, پاکستان","(25.3677817, 68.3565734, 0.0)",25.3677817,68.3565734,0
65,65,Padidan,"پڈعیدن, سندھ, پاکستان","(26.7819818, 68.2796342, 0.0)",26.7819818,68.2796342,0
66,66,Tando Jam,"ٹنڈو جام, سندھ, پاکستان","(25.4245266, 68.5296162, 0.0)",25.4245266,68.5296162,0
67,67,Jacobabad,"جیکب آباد, سندھ, 79000, پاکستان","(28.2813094, 68.4364361, 0.0)",28.2813094,68.4364361,0
68,68,Hyderabad,"Hyderabad, Telangana, India","(25.396, 68.3578, 0.0)",25.396,68.3578,0
69,69,Karachi,"کراچی, سندھ, کراچی, 74400, پاکستان","(24.8546842, 67.0207055, 0.0)",24.8546842,67.0207055,0
70,70,Dadu,"Dadu, Cârlibaba, Suceava, 727116, România","(26.7341, 67.7795, 0.0)",26.7341,67.7795,0
71,71,Larkana,"لاڑکانہ, ضلع لاڑکانہ, سندھ, 77150, پاکستان","(27.5564798, 68.2101509, 0.0)",27.5564798,68.2101509,0
74,74,Kot Diji,"کوٹ ڈیجی, سندھ, پاکستان","(27.3430938, 68.7093634, 0.0)",27.3430938,68.7093634,0
77,77,Padidan,"پڈعیدن, سندھ, پاکستان","(26.7819818, 68.2796342, 0.0)",26.7819818,68.2796342,0
78,78,Nawabshah,"نوابشاہ, سندھ, پاکستان","(26.2452915, 68.4040229, 0.0)",26.2452915,68.4040229,0
79,79,Thatta,"Thatta, Ajnala Tahsil, Amritsar, Punjab, 143109, India","(24.7475, 67.9106, 0.0)",24.7475,67.9106,0
80,80,Kotri,"Kotri, Kotri Tehsil, Bhilwara District, Rajasthan, India","(25.3494, 68.2743, 0.0)",25.3494,68.2743,0
81,81,Sukkur,"سکھر, سندھ, پاکستان","(27.6961883, 68.8588754, 0.0)",27.6961883,68.8588754,0
82,82,Sakrand,"سکرنڈ, سندھ, پاکستان","(26.1359715, 68.2734653, 0.0)",26.1359715,68.2734653,0
83,83,Daharki,"ڈھرکی‎, سندھ, پاکستان","(28.052158, 69.7030649, 0.0)",28.052158,69.7030649,0
84,84,Sehwan,"سیہون شریف, سندھ, پاکستان","(26.4255959, 67.8625638, 0.0)",26.4255959,67.8625638,0
85,85,Latifabad,"لطِيف آباد, حیدرآباد, سندھ, 91000, پاکستان","(25.3677817, 68.3565734, 0.0)",25.3677817,68.3565734,0
86,86,Jamshoro,"جامشورو, سندھ, پاکستان","(25.4007232, 68.266172, 0.0)",25.4007232,68.266172,0
87,87,Jacobabad,"جیکب آباد, سندھ, 79000, پاکستان","(28.2813094, 68.4364361, 0.0)",28.2813094,68.4364361,0
88,88,Hyderabad,"Hyderabad, Telangana, India","(25.396, 68.3578, 0.0)",25.396,68.3578,0
89,89,Karachi,"کراچی, سندھ, کراچی, 74400, پاکستان","(24.8546842, 67.0207055, 0.0)",24.8546842,67.0207055,0
90,90,Dadu,"Dadu, Cârlibaba, Suceava, 727116, România","(26.7341, 67.7795, 0.0)",26.7341,67.7795,0
91,91,Larkana,"لاڑکانہ, ضلع لاڑکانہ, سندھ, 77150, پاکستان","(27.5564798, 68.2101509, 0.0)",27.5564798,68.2101509,0
92,92,Ghotki,"گھوٹکی, Ghotki Khanpur Road, عادل پور, سندھ, پاکستان","(27.9939917, 69.3134549, 0.0)",27.9939917,69.3134549,0
93,93,Khairpur,"Khairpur, Siana, Bulandshahr, Uttar Pradesh, 203402, India","(27.5256, 68.7551, 0.0)",27.5256,68.7551,0
94,94,Shikarpur,"Shikarpur, Bulandshahr, Uttar Pradesh, India","(27.9570, 68.6380, 0.0)",27.957,68.638,0
95,95,Kashmore,"کشمور, سندھ, پاکستان","(28.4322915, 69.5814755, 0.0)",28.4322915,69.5814755,0
96,96,Sukkur,"سکھر, سندھ, پاکستان","(27.6961883, 68.8588754, 0.0)",27.6961883,68.8588754,0
97,97,Nawabshah,"نوابشاہ, سندھ, پاکستان","(26.2452915, 68.4040229, 0.0)",26.2452915,68.4040229,0
98,98,Umarkot,"Umarkot, Rojhan Tehsil, پنجاب, پاکستان","(28.8212149, 70.1450046, 0.0)",28.8212149,70.1450046,0
99,99,Mansehra,"مانسہرہ, خیبر پختونخوا, پاکستان","(34.3286855, 73.1993125, 0.0)",34.3286855,73.1993125,0
100,100,Kotri,"Kotri, Kotri Tehsil, Bhilwara District, Rajasthan, India","(25.3494, 68.2743, 0.0)",25.3494,68.2743,0
101,101,Thatta,"Thatta, Ajnala Tahsil, Amritsar, Punjab, 143109, India","(24.7475, 67.9106, 0.0)",24.7475,67.9106,0
102,102,Badin,"بدين, سندھ, 72200, پاکستان","(24.7566588, 68.84961066168489, 0.0)",24.7566588,68.84961066,0
103,103,Sehwan,"سیہون شریف, سندھ, پاکستان","(26.4255959, 67.8625638, 0.0)",26.4255959,67.8625638,0
104,104,Pano Akil,"پنو عاقل, Pano Akil Cantonment, سندھ, پاکستان","(27.855824, 69.1127479, 0.0)",27.855824,69.1127479,0
105,105,Kot Diji,"کوٹ ڈیجی, سندھ, پاکستان","(27.3430938, 68.7093634, 0.0)",27.3430938,68.7093634,0
